DISTRITO,CASILLA,MUNICIPIO,DOMICILIO
1,2349B1,SAN DIEGO DE LA UNION,"CALLE HIDALGO, NÚMERO 92, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2349C1,SAN DIEGO DE LA UNION,"CALLE HIDALGO, NÚMERO 92, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2350B1,SAN DIEGO DE LA UNION,"CALLE MINA, NÚMERO 82, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2350C1,SAN DIEGO DE LA UNION,"CALLE MINA, NÚMERO 82, ZONA CENTRO, SAN DIEGO DE LA UNIÓN, 37850"
1,2351B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA JAULA, SAN DIEGO DE LA UNIÓN,   37850"
1,2352B1,SAN DIEGO DE LA UNION,"AVENIDA ANTONIO MORENO, SIN NÚMERO, LOCALIDAD PARRITAS, SAN DIEGO DE LA UNIÓN, 37860"
1,2352C1,SAN DIEGO DE LA UNION,"AVENIDA ANTONIO MORENO, SIN NÚMERO, LOCALIDAD PARRITAS, SAN DIEGO DE LA UNIÓN, 37860"
1,2353B1,SAN DIEGO DE LA UNION,"AVENIDA DE LA PAZ, SIN NÚMERO, LOCALIDAD EL COLORADO,  SAN DIEGO DE LA UNIÓN, 37862"
1,2354B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA SAUCEDA, SAN DIEGO DE LA UNIÓN, 37860"
1,2354C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA SAUCEDA, SAN DIEGO DE LA UNIÓN, 37860"
1,2355B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN JUAN PRESA DE SAN FRANCO, SAN DIEGO DE LA UNIÓN, 37850"
1,2356B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EXHACIENDA DE SAN JUAN, SAN DIEGO DE LA UNIÓN, 37860"
1,2356C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EXHACIENDA DE SAN JUAN, SAN DIEGO DE LA UNIÓN, 37860"
1,2356C2,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EXHACIENDA DE SAN JUAN, SAN DIEGO DE LA UNIÓN, 37860"
1,2357B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD VENADITO Y VARAL, SAN DIEGO DE LA UNIÓN, 37850"
1,2358B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA NORIA, SAN DIEGO DE LA UNIÓN, 37860"
1,2358C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA NORIA, SAN DIEGO DE LA UNIÓN, 37860"
1,2358C2,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA NORIA, SAN DIEGO DE LA UNIÓN, 37860"
1,2359B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA PRESITA, SAN DIEGO DE LA UNIÓN, 37865"
1,2359C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LA PRESITA, SAN DIEGO DE LA UNIÓN, 37865"
1,2360B1,SAN DIEGO DE LA UNION,"CALLE BUCARELI, SIN NÚMERO, LOCALIDAD LA GRANJA, SAN DIEGO DE LA UNIÓN, 37850"
1,2360C1,SAN DIEGO DE LA UNION,"CALLE BUCARELI, SIN NÚMERO, LOCALIDAD LA GRANJA, SAN DIEGO DE LA UNIÓN, 37850"
1,2361B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD PROVIDENCIA, SAN DIEGO DE LA UNIÓN, 37868"
1,2361C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD PROVIDENCIA, SAN DIEGO DE LA UNIÓN, 37868"
1,2362B1,SAN DIEGO DE LA UNION,"CALLE 5 DE MAYO, SIN NÚMERO, LOCALIDAD CABRAS, SAN DIEGO DE LA UNIÓN,   37850"
1,2363B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN ANTONIO, SAN DIEGO DE LA UNIÓN, 37850"
1,2364B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SANTA ANITA, SAN DIEGO DE LA UNIÓN, 37850"
1,2365B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LOS MULATOS, SAN DIEGO DE LA UNIÓN, 37850"
1,2365C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LOS MULATOS, SAN DIEGO DE LA UNIÓN, 37850"
1,2366B1,SAN DIEGO DE LA UNION,"CALLE INSURGENTES, SIN NÚMERO, LOCALIDAD CARBONERA, SAN DIEGO DE LA UNIÓN, 37850"
1,2367B1,SAN DIEGO DE LA UNION,"AVENIDA PRINCIPAL, SIN NÚMERO, LOCALIDAD PRÍNCIPES, SAN DIEGO DE LA UNIÓN, 37850"
1,2368B1,SAN DIEGO DE LA UNION,"AVENIDA NORTE, SIN NÚMERO, LOCALIDAD PEÑUELAS, SAN DIEGO DE LA UNIÓN, 37858"
1,2368C1,SAN DIEGO DE LA UNION,"AVENIDA NORTE, SIN NÚMERO, LOCALIDAD PEÑUELAS, SAN DIEGO DE LA UNIÓN, 37858"
1,2369B1,SAN DIEGO DE LA UNION,"CALLE PRINCIPAL, SIN NÚMERO, LOCALIDAD HACIENDA DE JESÚS, SAN DIEGO DE LA UNIÓN, 37850"
1,2369E1,SAN DIEGO DE LA UNION,"CALLE TERMINAL, SIN NÚMERO ESQUINA CON CALLE CENTRAL, LOCALIDAD EL ROSALITO, SAN DIEGO DE LA UNIÓN, 37850"
1,2370B1,SAN DIEGO DE LA UNION,"CALLE PROGRESO, SIN NÚMERO, LOCALIDAD EL PEÑÓN, SAN DIEGO DE LA UNIÓN,  37850"
1,2371B1,SAN DIEGO DE LA UNION,"CALLE BENITO JUÁREZ, NÚMERO 1, LOCALIDAD LA TINAJA, SAN DIEGO DE LA UNIÓN, 37854"
1,2371C1,SAN DIEGO DE LA UNION,"CALLE BENITO JUÁREZ, NÚMERO 1, LOCALIDAD LA TINAJA, SAN DIEGO DE LA UNIÓN, 37854"
1,2372B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD MONJAS, SAN DIEGO DE LA UNIÓN, 37850"
1,2373B1,SAN DIEGO DE LA UNION,"CALLE SAN DIEGO, NÚMERO 15, LOCALIDAD POZO ADEMADO, SAN DIEGO DE LA UNIÓN, 37857"
1,2373C1,SAN DIEGO DE LA UNION,"CALLE SAN DIEGO, NÚMERO 15, LOCALIDAD POZO ADEMADO, SAN DIEGO DE LA UNIÓN, 37857"
1,2374B1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD CATALÁN, SAN DIEGO DE LA UNIÓN, 37850"
1,2374C1,SAN DIEGO DE LA UNION,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD CATALÁN, SAN DIEGO DE LA UNIÓN, 37850"
1,2375B1,SAN FELIPE,"CALLE REVOLUCIÓN, NÚMERO 308, COLONIA SAN MIGUEL, SAN FELIPE, 37600"
1,2375C1,SAN FELIPE,"CALLE REVOLUCIÓN, NÚMERO 308, COLONIA SAN MIGUEL, SAN FELIPE, 37600"
1,2376B1,SAN FELIPE,"AVENIDA COLÓN, SIN NÚMERO, ZONA CENTRO, SAN FELIPE, 37600"
1,2376C1,SAN FELIPE,"AVENIDA COLÓN, SIN NÚMERO, ZONA CENTRO, SAN FELIPE, 37600"
1,2377B1,SAN FELIPE,"CALLE GALEANA, SIN NÚMERO, COLONIA LA TERESITA, SAN FELIPE, 37600"
1,2377C1,SAN FELIPE,"CALLE GALEANA, SIN NÚMERO, COLONIA LA TERESITA, SAN FELIPE, 37600"
1,2378B1,SAN FELIPE,"CALLE MELCHOR OCAMPO, SIN NÚMERO, ZONA CENTRO, SAN FELIPE, 37600"
1,2378C1,SAN FELIPE,"CALLE MELCHOR OCAMPO, SIN NÚMERO, ZONA CENTRO, SAN FELIPE, 37600"
1,2379B1,SAN FELIPE,"LEONA VICARIO, NÚMERO 101, COLONIA SAN JUAN, SAN FELIPE, 37600"
1,2379C1,SAN FELIPE,"LEONA VICARIO, NÚMERO 101, COLONIA SAN JUAN, SAN FELIPE, 37600"
1,2379C2,SAN FELIPE,"LEONA VICARIO, NÚMERO 101, COLONIA SAN JUAN, SAN FELIPE, 37600"
1,2380B1,SAN FELIPE,"CALLE 16 DE SEPTIEMBRE, NÚMERO 602, BARRIO EL SANTUARIO, SAN FELIPE, 37600"
1,2380C1,SAN FELIPE,"CALLE 16 DE SEPTIEMBRE, NÚMERO 602, BARRIO EL SANTUARIO, SAN FELIPE, 37600"
1,2381B1,SAN FELIPE,"PLAZA PRINCIPAL, NÚMERO 102, ZONA CENTRO, SAN FELIPE, 37600"
1,2381C1,SAN FELIPE,"PLAZA PRINCIPAL, NÚMERO 102, ZONA CENTRO, SAN FELIPE, 37600"
1,2381S1,SAN FELIPE,"PLAZA PRINCIPAL, NÚMERO 102, ZONA CENTRO, SAN FELIPE, 37600"
1,2382B1,SAN FELIPE,"CALLE SAN JOAQUÍN, SIN NÚMERO, COLONIA JARDINES DE SAN ANTONIO, SAN FELIPE, 37600"
1,2382C1,SAN FELIPE,"CALLE SAN JOAQUÍN, SIN NÚMERO, COLONIA JARDINES DE SAN ANTONIO, SAN FELIPE, 37600"
1,2382C2,SAN FELIPE,"CALLE SAN JOAQUÍN, SIN NÚMERO, COLONIA JARDINES DE SAN ANTONIO, SAN FELIPE, 37600"
1,2383B1,SAN FELIPE,"CALLE ALLENDE, NÚMERO 200, ZONA CENTRO, SAN FELIPE, 37600"
1,2383C1,SAN FELIPE,"CALLE ALLENDE, NÚMERO 200, ZONA CENTRO, SAN FELIPE, 37600"
1,2384B1,SAN FELIPE,"PLAZA PRINCIPAL, NÚMERO 19, ZONA CENTRO, SAN FELIPE, 37600"
1,2384C1,SAN FELIPE,"PLAZA PRINCIPAL, NÚMERO 19, ZONA CENTRO, SAN FELIPE, 37600"
